Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received,anomaly,anomaly_reason
52398,443,30861,443,allow,323437,18923,304514,544,252,276,268,1,"High deviation in pkts_sent, Bytes Received, Bytes"
15503,63093,6070,63093,allow,481,150,331,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
34107,443,34100,443,allow,11976,5066,6910,83,2475,43,40,1,"High deviation in pkts_sent, Bytes Sent, Elapsed Time (sec)"
60990,443,42071,443,allow,212824,12881,199943,244,49,101,143,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57470,40794,36042,40794,allow,132,132,0,3,1199,3,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
44847,37005,6154,37005,allow,150,150,0,1,1200,1,0,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
59339,80,59339,80,allow,107838,4143,103695,178,15,59,119,1,"High deviation in pkts_sent, Bytes Received, Bytes"
10151,27949,13472,27949,allow,469,149,320,2,1200,1,1,1,"High deviation in NAT Destination Port, Elapsed Time (sec), Destination Port"
51596,443,63040,443,allow,4638384,61757,4576627,3641,280,309,3332,1,"High deviation in pkts_sent, Bytes Received, Bytes"
47831,443,18559,443,allow,180582,6020,174562,196,200,70,126,1,"High deviation in pkts_sent, Bytes Received, Bytes"
47832,443,4961,443,allow,130090,7064,123026,184,200,92,92,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49764,443,46462,443,allow,114197,7285,106912,177,77,85,92,1,"High deviation in pkts_sent, Bytes Received, Bytes"
48994,443,64205,443,allow,46452,6817,39635,103,299,45,58,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53949,42301,56593,42301,allow,1396,719,677,15,15,8,7,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
60496,56871,22838,56871,allow,504,318,186,8,15,5,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
52220,65128,43562,65128,allow,70,70,0,2,8,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
37965,48167,49022,48167,allow,490,149,341,3,1199,2,1,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
50992,443,14898,443,allow,49212,42366,6846,109,147,59,50,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
54526,443,1853,443,allow,33625519,489773,33135746,29877,243,6803,23074,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52334,443,32129,443,allow,96091,8340,87751,159,205,75,84,1,"High deviation in pkts_sent, Bytes Received, Bytes"
30188,33365,39784,33365,allow,42329,18517,23812,241,2378,116,125,1,"High deviation in pkts_sent, Bytes Sent, NAT Destination Port"
51221,51413,53021,51413,allow,460,150,310,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
53954,57868,29520,57868,allow,70,70,0,1,5,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
57470,53380,4441,53380,allow,330,330,0,6,1200,6,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
64723,443,61032,443,allow,7978900,79979,7898921,6464,210,644,5820,1,"High deviation in pkts_sent, Bytes Received, Bytes"
19473,51413,49212,51413,allow,459,149,310,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
61343,443,57856,443,allow,1784740,34746,1749994,1769,331,357,1412,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52101,64162,42746,64162,allow,1200,576,624,8,31,4,4,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
49228,443,55799,443,allow,842887,22143,820744,866,19,314,552,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53101,443,16538,443,allow,27964,15805,12159,204,904,120,84,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
51880,51880,39901,51880,allow,582,270,312,8,32,4,4,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
10059,443,58839,443,allow,70553,6471,64082,141,182,69,72,1,"High deviation in pkts_sent, Bytes Received, Bytes"
42484,443,62904,443,allow,79507,72433,7074,96,415,60,36,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
6881,56867,6114,56867,allow,150,150,0,1,1199,1,0,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
53497,443,53212,443,allow,17187157,553524,16633633,18453,352,6098,12355,1,"High deviation in pkts_sent, Bytes Received, Bytes"
61829,443,61829,443,allow,280243,73972,206271,309,206,142,167,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
59335,80,59335,80,allow,107776,4213,103563,177,16,60,117,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57956,443,29445,443,allow,7842,2164,5678,48,5441,20,28,1,"High deviation in pkts_sent, Elapsed Time (sec), Bytes Sent"
21133,11342,54289,11342,allow,478,149,329,2,1200,1,1,1,"High deviation in NAT Destination Port, Elapsed Time (sec), Destination Port"
53935,42874,31408,42874,allow,1973,1021,952,10,15,6,4,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
38524,443,15396,443,allow,5846879,177697,5669182,6043,41,2261,3782,1,"High deviation in pkts_sent, Bytes Received, Bytes"
43357,443,61952,443,allow,146374,13143,133231,238,131,116,122,1,"High deviation in pkts_sent, Bytes Received, Bytes"
38143,443,25496,443,allow,84884,5896,78988,128,36,66,62,1,"High deviation in pkts_sent, Bytes Received, Bytes"
53931,55300,33330,55300,allow,492,306,186,8,15,5,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
65521,443,8234,443,allow,92427,4519,87908,105,15,39,66,1,"High deviation in pkts_sent, Bytes Received, Bytes"
65520,443,22541,443,allow,438102,12780,425322,449,15,157,292,1,"High deviation in pkts_sent, Bytes Received, Bytes"
38474,28678,45201,28678,allow,1806,1806,0,22,224,22,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
49443,443,17566,443,allow,70988,47020,23968,152,652,79,73,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
58868,443,58939,443,allow,239435,36478,202957,319,111,133,186,1,"High deviation in pkts_sent, Bytes Received, Bytes"
39886,443,46428,443,allow,315567,15410,300157,404,46,189,215,1,"High deviation in pkts_sent, Bytes Received, Bytes"
46273,5228,19288,5228,allow,5239,1558,3681,27,4020,9,18,1,"High deviation in pkts_sent, Elapsed Time (sec), NAT Destination Port"
62547,443,41349,443,allow,54095,6413,47682,151,450,61,90,1,"High deviation in pkts_sent, Bytes Received, Bytes"
65519,443,19659,443,allow,436359,12780,423579,448,16,157,291,1,"High deviation in pkts_sent, Bytes Received, Bytes"
37965,61085,23932,61085,allow,132,132,0,3,1199,3,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
64083,63666,21856,63666,allow,66,66,0,2,8,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
38753,443,17390,443,allow,29887852,586245,29301607,27419,299,7975,19444,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52213,56682,21348,56682,allow,70,70,0,2,6,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
52169,59681,49857,59681,allow,66,66,0,1,5,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
49248,80,49248,80,allow,163556,12140,151416,207,22,97,110,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49246,80,49246,80,allow,133699,9415,124284,169,23,77,92,1,"High deviation in pkts_sent, Bytes Received, Bytes"
55652,443,55652,443,allow,141647,19296,122351,203,55,102,101,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49247,80,49247,80,allow,135755,6750,129005,160,22,68,92,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49249,80,49249,80,allow,265842,14126,251716,311,22,136,175,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57727,443,62460,443,allow,54944,4374,50570,88,361,44,44,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50265,44822,26867,44822,allow,149,149,0,1,1200,1,0,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
52206,59077,23195,59077,allow,316,136,180,6,9,3,3,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
53972,59089,65256,59089,allow,70,70,0,2,7,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
52171,63033,25728,63033,allow,70,70,0,1,5,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
10019,443,53412,443,allow,1497912,26236,1471676,1321,121,299,1022,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52168,62118,28732,62118,allow,70,70,0,1,5,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
50578,80,35081,80,allow,367162,17367,349795,470,143,214,256,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52211,56648,57880,56648,allow,70,70,0,2,8,2,0,1,"High deviation in pkts_sent, NAT Destination Port, Destination Port"
65518,443,8967,443,allow,92157,4519,87638,105,15,39,66,1,"High deviation in pkts_sent, Bytes Received, Bytes"
54367,443,60704,443,allow,5892088,193411,5698677,6287,213,2098,4189,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52182,60769,21483,60769,allow,70,70,0,1,5,1,0,1,"High deviation in NAT Destination Port, Destination Port, NAT Source Port"
38712,443,31171,443,allow,382972,9177,373795,378,16,120,258,1,"High deviation in pkts_sent, Bytes Received, Bytes"
62112,443,29747,443,allow,505589,13504,492085,462,345,91,371,1,"High deviation in pkts_sent, Bytes Received, Bytes"
52167,61948,3341,61948,allow,70,70,0,1,5,1,0,1,"High deviation in NAT Destination Port, Destination Port, Bytes Received"
49703,443,4967,443,allow,421435,16499,404936,388,210,95,293,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49931,443,64224,443,allow,92352,5699,86653,105,134,35,70,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57470,24409,44348,24409,allow,870,330,540,12,1501,6,6,1,"High deviation in pkts_sent, NAT Destination Port, Elapsed Time (sec)"
49709,443,24927,443,allow,523518,15431,508087,466,210,109,357,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50015,443,26548,443,allow,59858,24345,35513,148,612,78,70,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
49707,443,44929,443,allow,593578,18531,575047,531,210,128,403,1,"High deviation in pkts_sent, Bytes Received, Bytes"
57451,443,58507,443,allow,19175423,168230,19007193,15129,313,2298,12831,1,"High deviation in pkts_sent, Bytes Received, Bytes"
49704,443,41533,443,allow,513839,16341,497498,453,210,104,349,1,"High deviation in pkts_sent, Bytes Received, Bytes"
50017,443,54344,443,allow,51055,17321,33734,147,612,77,70,1,"High deviation in pkts_sent, Bytes Sent, Bytes"
6882,46440,39998,46440,allow,324,150,174,2,1200,1,1,1,"High deviation in NAT Destination Port, Destination Port, Elapsed Time (sec)"
